epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,660.279,1.3914,1.98209,1.57934,0.57207,0.4927,0.51314,0.20839,1.59952,2.58229,1.90382,0.00065625,0.00065625,0.00065625
2,1235.48,1.45477,1.70845,1.61987,0.55481,0.62819,0.564,0.24694,1.85038,2.54295,2.52807,0.00129672,0.00129672,0.00129672
3,1802.9,1.50621,1.62387,1.66638,0.23027,0.2497,0.1626,0.05145,2.55547,3.51418,2.98167,0.0019108,0.0019108,0.0019108
4,2376.82,1.49611,1.50144,1.65493,0.50771,0.33539,0.3094,0.10966,2.35325,3.23238,3.02084,0.0018812,0.0018812,0.0018812
5,2959.07,1.49108,1.41402,1.64282,0.66872,0.5664,0.62907,0.27095,1.95316,1.73496,2.19158,0.0018416,0.0018416,0.0018416
6,3576.91,1.45473,1.35033,1.63312,0.7725,0.61655,0.67978,0.29842,1.84745,1.55178,2.15011,0.001802,0.001802,0.001802
7,4821.9,1.40918,1.24236,1.56005,0.67527,0.52033,0.62381,0.25736,1.80123,1.64267,2.05992,0.0017624,0.0017624,0.0017624
8,5802,1.39827,1.26002,1.56252,0.71651,0.71921,0.76453,0.35108,1.77888,1.31227,1.94693,0.0017228,0.0017228,0.0017228
9,7017.64,1.39876,1.1787,1.54666,0.77032,0.68169,0.72252,0.35556,1.6893,1.41563,1.88726,0.0016832,0.0016832,0.0016832
10,7875.92,1.34538,1.12555,1.52866,0.73393,0.65041,0.6634,0.36217,1.71917,1.38479,1.97331,0.0016436,0.0016436,0.0016436
11,11743.2,1.33793,1.08753,1.51004,0.76727,0.63436,0.71771,0.34502,1.80723,1.46377,2.00249,0.001604,0.001604,0.001604
12,13354.6,1.32638,1.04767,1.48961,0.83599,0.65854,0.75462,0.37987,1.78677,1.26967,1.87477,0.0015644,0.0015644,0.0015644
13,14063.2,1.32233,1.06107,1.48374,0.78561,0.75068,0.7997,0.4315,1.5513,1.17392,1.7242,0.0015248,0.0015248,0.0015248
14,14791.8,1.27473,0.97837,1.46845,0.8466,0.75339,0.84411,0.42934,1.61408,1.07087,1.72441,0.0014852,0.0014852,0.0014852
15,15679.2,1.22551,0.96874,1.43058,0.83518,0.7553,0.80215,0.38965,1.72377,1.17344,1.91515,0.0014456,0.0014456,0.0014456
16,16609.7,1.25867,1.00075,1.44926,0.80685,0.66125,0.72219,0.36849,1.72935,1.35995,1.96873,0.001406,0.001406,0.001406
17,17599.4,1.22576,0.93015,1.40984,0.75297,0.74344,0.77265,0.41997,1.62528,1.23743,1.93937,0.0013664,0.0013664,0.0013664
18,18383.1,1.25213,0.93793,1.43293,0.86699,0.80488,0.89578,0.49663,1.52291,0.9139,1.68914,0.0013268,0.0013268,0.0013268
19,19364.5,1.20478,0.88441,1.39843,0.87377,0.78787,0.84979,0.48754,1.53689,0.96673,1.69007,0.0012872,0.0012872,0.0012872
